PLAYER,TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS-MINUS
Juancho Hernangomez,MIN,04/05/2021,MIN vs. SAC,W,26,17,5,10,1,3,6,8,4,5,9,1,1,0,0,0,17
Naz Reid,MIN,04/05/2021,MIN vs. SAC,W,21,10,4,8,2,3,0,0,0,7,7,0,1,1,0,1,21
Jake Layman,MIN,04/05/2021,MIN vs. SAC,W,3,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,6
Jaden McDaniels,MIN,04/07/2021,MIN @ IND,L,37,8,3,5,1,3,1,2,2,5,7,2,2,0,3,4,3
Jake Layman,MIN,04/07/2021,MIN @ IND,L,16,9,4,6,0,1,1,1,0,2,2,1,0,0,0,1,-5
Karl-Anthony Towns,MIN,04/07/2021,MIN @ IND,L,35,32,12,17,2,6,6,8,3,9,12,6,0,1,4,4,9
Anthony Edwards,MIN,04/07/2021,MIN @ IND,L,34,27,11,21,2,5,3,5,3,2,5,3,1,0,2,1,5
Ricky Rubio,MIN,04/07/2021,MIN @ IND,L,30,17,4,11,1,3,8,9,0,5,5,7,3,0,0,1,7
D'Angelo Russell,MIN,04/07/2021,MIN @ IND,L,24,17,5,15,2,7,5,5,1,0,1,5,0,0,1,2,-3
Jordan McLaughlin,MIN,04/07/2021,MIN @ IND,L,20,2,1,4,0,0,0,0,0,0,0,3,1,0,0,1,-10
Jarrett Culver,MIN,04/07/2021,MIN @ IND,L,18,8,3,5,1,1,1,2,2,1,3,2,0,1,1,2,-9
Juancho Hernangomez,MIN,04/07/2021,MIN @ IND,L,10,1,0,0,0,0,1,2,0,2,2,1,0,0,1,0,-8
Naz Reid,MIN,04/07/2021,MIN @ IND,L,15,16,5,7,1,2,5,6,2,3,5,0,0,0,0,1,-9
Josh Okogie,MIN,04/09/2021,MIN @ BOS,L,37,16,6,11,2,4,2,2,2,1,3,1,4,0,0,3,-3
Jaden McDaniels,MIN,04/09/2021,MIN @ BOS,L,44,11,5,12,1,5,0,0,2,1,3,1,2,0,1,4,-17
Karl-Anthony Towns,MIN,04/09/2021,MIN @ BOS,L,42,30,10,22,4,9,6,6,2,10,12,7,1,0,6,3,-4
Anthony Edwards,MIN,04/09/2021,MIN @ BOS,L,40,24,7,12,2,6,8,8,1,4,5,5,1,0,3,3,-1
Ricky Rubio,MIN,04/09/2021,MIN @ BOS,L,23,4,1,5,0,3,2,2,0,4,4,7,4,0,0,1,1
D'Angelo Russell,MIN,04/09/2021,MIN @ BOS,L,29,26,10,18,3,9,3,4,0,4,4,8,0,0,2,3,-10
Juancho Hernangomez,MIN,04/09/2021,MIN @ BOS,L,19,10,3,8,2,3,2,2,2,2,4,0,0,0,0,3,-5
Jordan McLaughlin,MIN,04/09/2021,MIN @ BOS,L,15,7,2,2,0,0,3,4,0,1,1,1,2,0,1,2,-5
Jarrett Culver,MIN,04/09/2021,MIN @ BOS,L,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,4
Naz Reid,MIN,04/09/2021,MIN @ BOS,L,11,8,3,6,1,3,1,2,0,0,0,0,0,0,1,1,-5
Josh Okogie,MIN,04/11/2021,MIN vs. CHI,W,36,6,2,6,0,2,2,2,0,3,3,0,1,1,3,2,1
Jaden McDaniels,MIN,04/11/2021,MIN vs. CHI,W,30,4,1,7,0,4,2,2,0,6,6,1,1,3,0,2,-3
Karl-Anthony Towns,MIN,04/11/2021,MIN vs. CHI,W,37,27,8,15,3,7,8,8,2,10,12,8,0,2,4,4,9
Anthony Edwards,MIN,04/11/2021,MIN vs. CHI,W,36,15,5,14,2,5,3,3,0,5,5,2,3,0,2,0,4
Ricky Rubio,MIN,04/11/2021,MIN vs. CHI,W,25,17,6,13,5,6,0,0,0,4,4,9,1,0,0,2,13
D'Angelo Russell,MIN,04/11/2021,MIN vs. CHI,W,26,27,9,13,3,6,6,6,0,2,2,4,0,0,2,2,2
Naz Reid,MIN,04/11/2021,MIN vs. CHI,W,28,18,6,9,2,4,4,4,0,1,1,2,0,0,1,1,-4
Jordan McLaughlin,MIN,04/11/2021,MIN vs. CHI,W,8,2,1,1,0,0,0,0,1,1,2,0,0,0,1,0,-4
Jarrett Culver,MIN,04/11/2021,MIN vs. CHI,W,7,5,2,2,1,1,0,0,0,0,0,0,1,0,1,0,-1
Juancho Hernangomez,MIN,04/11/2021,MIN vs. CHI,W,8,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,3
Josh Okogie,MIN,04/13/2021,MIN vs. BKN,L,18,7,2,2,1,1,2,3,0,1,1,1,4,1,2,4,-15
Jaden McDaniels,MIN,04/13/2021,MIN vs. BKN,L,24,5,2,5,1,3,0,0,0,3,3,2,0,0,1,3,-26
Naz Reid,MIN,04/13/2021,MIN vs. BKN,L,17,2,1,7,0,2,0,0,0,3,3,0,0,2,2,4,-22
Anthony Edwards,MIN,04/13/2021,MIN vs. BKN,L,33,27,8,22,2,11,9,12,1,7,8,2,1,1,1,2,-39
Ricky Rubio,MIN,04/13/2021,MIN vs. BKN,L,19,5,2,6,1,4,0,0,1,2,3,2,1,0,1,1,-31
D'Angelo Russell,MIN,04/13/2021,MIN vs. BKN,L,20,15,5,12,3,5,2,2,0,1,1,1,1,0,4,2,-14
Jordan McLaughlin,MIN,04/13/2021,MIN vs. BKN,L,22,9,3,7,2,5,1,2,0,2,2,2,2,0,1,0,9
Jarred Vanderbilt,MIN,04/13/2021,MIN vs. BKN,L,21,9,2,2,0,0,5,6,1,3,4,3,1,4,0,0,-15
Juancho Hernangomez,MIN,04/13/2021,MIN vs. BKN,L,12,0,0,3,0,3,0,0,1,1,2,0,0,1,1,1,-4
Jaylen Nowell,MIN,04/13/2021,MIN vs. BKN,L,17,3,1,10,0,6,1,2,0,3,3,0,0,0,0,1,1
Jarrett Culver,MIN,04/13/2021,MIN vs. BKN,L,15,4,1,6,1,5,1,2,0,3,3,2,0,0,1,0,-1
Jake Layman,MIN,04/13/2021,MIN vs. BKN,L,12,9,3,5,2,4,1,2,0,1,1,0,1,1,0,1,0
Ed Davis,MIN,04/13/2021,MIN vs. BKN,L,10,2,0,0,0,0,2,2,7,3,10,1,2,2,0,1,7
Josh Okogie,MIN,04/14/2021,MIN vs. MIL,L,24,13,4,6,3,4,2,2,0,2,2,0,0,2,0,4,-17
Jaden McDaniels,MIN,04/14/2021,MIN vs. MIL,L,26,13,5,10,3,5,0,0,0,4,4,0,0,0,2,2,-13
Naz Reid,MIN,04/14/2021,MIN vs. MIL,L,31,9,3,10,0,4,3,4,3,12,15,2,2,3,1,1,-23
Anthony Edwards,MIN,04/14/2021,MIN vs. MIL,L,31,24,8,21,5,11,3,5,0,0,0,3,3,0,2,0,-21
Ricky Rubio,MIN,04/14/2021,MIN vs. MIL,L,19,0,0,5,0,2,0,0,0,4,4,2,1,0,2,4,-23
D'Angelo Russell,MIN,04/14/2021,MIN vs. MIL,L,23,15,4,14,1,5,6,6,0,2,2,6,1,0,5,0,-6
Jordan McLaughlin,MIN,04/14/2021,MIN vs. MIL,L,19,4,1,4,0,2,2,2,2,2,4,4,2,0,0,1,4
Jarred Vanderbilt,MIN,04/14/2021,MIN vs. MIL,L,19,4,2,5,0,0,0,4,4,6,10,3,1,0,2,3,-6
Juancho Hernangomez,MIN,04/14/2021,MIN vs. MIL,L,22,18,5,6,3,4,5,6,0,2,2,1,1,1,0,0,-7
Ed Davis,MIN,04/14/2021,MIN vs. MIL,L,9,2,1,1,0,0,0,0,1,1,2,1,1,1,0,2,0
Jaylen Nowell,MIN,04/14/2021,MIN vs. MIL,L,10,0,0,4,0,1,0,0,0,2,2,0,0,0,0,0,-6
Jake Layman,MIN,04/14/2021,MIN vs. MIL,L,5,3,1,4,0,1,1,2,0,0,0,0,1,0,2,0,-2
Jarrett Culver,MIN,04/14/2021,MIN vs. MIL,L,4,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,-5
Josh Okogie,MIN,04/16/2021,MIN vs. MIA,W,25,10,3,4,1,2,3,4,0,4,4,2,0,0,2,2,-4
Jaden McDaniels,MIN,04/16/2021,MIN vs. MIA,W,16,4,1,3,1,3,1,2,0,1,1,1,1,0,0,3,-9
Karl-Anthony Towns,MIN,04/16/2021,MIN vs. MIA,W,26,24,8,14,4,4,4,7,0,5,5,5,0,1,3,6,1
Anthony Edwards,MIN,04/16/2021,MIN vs. MIA,W,30,12,5,13,2,6,0,0,0,4,4,5,1,0,1,0,19
Ricky Rubio,MIN,04/16/2021,MIN vs. MIA,W,32,17,5,10,2,5,5,5,0,3,3,4,2,0,3,2,-4
D'Angelo Russell,MIN,04/16/2021,MIN vs. MIA,W,24,11,4,8,3,6,0,0,0,0,0,5,2,0,3,0,-9
Jake Layman,MIN,04/16/2021,MIN vs. MIA,W,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-3
Jordan McLaughlin,MIN,04/16/2021,MIN vs. MIA,W,16,2,1,3,0,1,0,0,0,1,1,3,0,0,2,1,12
Naz Reid,MIN,04/16/2021,MIN vs. MIA,W,22,16,6,12,0,3,4,5,4,3,7,2,0,0,0,3,7
Juancho Hernangomez,MIN,04/16/2021,MIN vs. MIA,W,23,14,6,10,2,6,0,0,1,5,6,2,0,0,1,1,19
Jarred Vanderbilt,MIN,04/16/2021,MIN vs. MIA,W,22,9,3,4,0,0,3,6,5,9,14,1,2,1,2,3,11
Josh Okogie,MIN,04/18/2021,MIN @ LAC,L,20,8,3,6,2,5,0,0,0,1,1,1,1,1,0,0,1
Jaden McDaniels,MIN,04/18/2021,MIN @ LAC,L,27,11,4,6,3,5,0,0,1,0,1,1,1,1,0,3,-7
Karl-Anthony Towns,MIN,04/18/2021,MIN @ LAC,L,25,16,5,15,1,6,5,5,1,5,6,5,0,0,3,4,-29
Anthony Edwards,MIN,04/18/2021,MIN @ LAC,L,29,23,6,16,5,11,6,7,0,6,6,3,0,0,1,4,-17
Ricky Rubio,MIN,04/18/2021,MIN @ LAC,L,23,6,2,6,1,3,1,2,0,2,2,5,1,0,0,1,-14
D'Angelo Russell,MIN,04/18/2021,MIN @ LAC,L,22,11,5,13,1,5,0,0,0,1,1,4,1,1,6,2,-20
Jordan McLaughlin,MIN,04/18/2021,MIN @ LAC,L,22,9,3,7,3,5,0,0,0,2,2,5,2,0,0,0,-6
Jarred Vanderbilt,MIN,04/18/2021,MIN @ LAC,L,15,1,0,2,0,0,1,2,3,2,5,0,0,3,0,1,-5
Juancho Hernangomez,MIN,04/18/2021,MIN @ LAC,L,18,2,1,5,0,3,0,0,0,2,2,0,0,0,0,1,-3
Naz Reid,MIN,04/18/2021,MIN @ LAC,L,21,13,5,10,1,2,2,3,1,6,7,0,0,1,0,2,-14
Ed Davis,MIN,04/18/2021,MIN @ LAC,L,9,1,0,0,0,0,1,2,0,4,4,0,0,0,1,2,13
Jake Layman,MIN,04/18/2021,MIN @ LAC,L,4,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3
Jarrett Culver,MIN,04/18/2021,MIN @ LAC,L,4,2,1,1,0,0,0,0,0,0,0,2,0,0,0,1,3
Josh Okogie,MIN,04/20/2021,MIN @ SAC,W,24,10,4,8,0,3,2,2,2,1,3,1,0,1,0,3,21
Jaden McDaniels,MIN,04/20/2021,MIN @ SAC,W,30,13,6,8,1,2,0,0,1,5,6,0,0,1,3,2,8
Karl-Anthony Towns,MIN,04/20/2021,MIN @ SAC,W,36,26,9,17,4,9,4,6,7,11,18,5,0,4,3,3,7
Anthony Edwards,MIN,04/20/2021,MIN @ SAC,W,38,28,11,21,5,12,1,1,0,4,4,3,3,1,3,2,4
Ricky Rubio,MIN,04/20/2021,MIN @ SAC,W,30,6,3,8,0,3,0,0,1,3,4,11,1,0,3,1,11
D'Angelo Russell,MIN,04/20/2021,MIN @ SAC,W,25,28,10,13,6,8,2,2,0,3,3,6,0,0,2,2,-1
Juancho Hernangomez,MIN,04/20/2021,MIN @ SAC,W,16,5,2,6,0,4,1,4,0,2,2,2,0,0,2,2,2
Jordan McLaughlin,MIN,04/20/2021,MIN @ SAC,W,13,6,2,2,2,2,0,0,0,2,2,5,1,0,2,0,6
Naz Reid,MIN,04/20/2021,MIN @ SAC,W,14,10,3,5,0,0,4,4,1,3,4,1,0,1,0,0,11
Jarred Vanderbilt,MIN,04/20/2021,MIN @ SAC,W,14,2,1,2,0,0,0,0,0,4,4,0,0,1,0,1,1
Josh Okogie,MIN,05/05/2021,MIN vs. MEM,L,21,6,3,5,0,0,0,1,3,2,5,0,1,0,0,3,-2
Jaden McDaniels,MIN,05/05/2021,MIN vs. MEM,L,26,8,3,7,2,5,0,0,0,3,3,2,0,1,0,5,6
Karl-Anthony Towns,MIN,05/05/2021,MIN vs. MEM,L,24,22,7,15,3,6,5,5,2,2,4,5,1,0,4,5,9
Anthony Edwards,MIN,05/05/2021,MIN vs. MEM,L,38,42,17,22,8,9,0,1,1,5,6,7,1,1,3,4,11
D'Angelo Russell,MIN,05/05/2021,MIN vs. MEM,L,37,22,6,13,2,5,8,8,1,3,4,14,1,0,5,0,9
Ricky Rubio,MIN,05/05/2021,MIN vs. MEM,L,17,2,0,3,0,2,2,2,0,4,4,4,0,0,1,0,-15
Juancho Hernangomez,MIN,05/05/2021,MIN vs. MEM,L,25,11,3,10,2,6,3,4,1,2,3,0,0,0,0,0,-15
Naz Reid,MIN,05/05/2021,MIN vs. MEM,L,25,14,6,14,2,6,0,0,3,4,7,0,1,2,1,3,-12
Jarred Vanderbilt,MIN,05/05/2021,MIN vs. MEM,L,26,8,4,5,0,0,0,1,1,4,5,0,2,1,0,2,-11
Josh Okogie,MIN,04/21/2021,MIN @ SAC,L,24,7,3,6,0,1,1,2,3,1,4,1,1,0,0,4,7
Jaden McDaniels,MIN,04/21/2021,MIN @ SAC,L,32,4,2,4,0,2,0,0,1,1,2,0,1,1,0,5,-21
Karl-Anthony Towns,MIN,04/21/2021,MIN @ SAC,L,33,26,7,17,3,6,9,9,1,4,5,6,1,0,2,3,-21
Anthony Edwards,MIN,04/21/2021,MIN @ SAC,L,28,16,4,10,2,7,6,8,0,1,1,2,0,0,2,1,-3
Ricky Rubio,MIN,04/21/2021,MIN @ SAC,L,29,11,4,9,3,5,0,0,0,4,4,6,1,0,1,2,-5
D'Angelo Russell,MIN,04/21/2021,MIN @ SAC,L,29,15,6,12,2,5,1,2,0,3,3,9,2,1,2,0,-6
Juancho Hernangomez,MIN,04/21/2021,MIN @ SAC,L,19,16,6,10,3,5,1,1,1,1,2,0,1,0,0,1,12
Jarred Vanderbilt,MIN,04/21/2021,MIN @ SAC,L,16,4,2,3,0,0,0,0,3,3,6,2,0,1,0,1,14
Jordan McLaughlin,MIN,04/21/2021,MIN @ SAC,L,6,2,1,1,0,0,0,0,0,0,0,2,0,0,1,0,1
Naz Reid,MIN,04/21/2021,MIN @ SAC,L,24,24,11,15,2,3,0,0,0,7,7,2,0,1,2,4,7
Josh Okogie,MIN,04/24/2021,MIN @ UTA,W,32,8,3,6,0,3,2,4,1,1,2,2,2,1,1,3,12
Jaden McDaniels,MIN,04/24/2021,MIN @ UTA,W,33,6,3,6,0,0,0,0,2,3,5,2,1,0,1,4,2
Karl-Anthony Towns,MIN,04/24/2021,MIN @ UTA,W,37,24,9,18,2,7,4,6,2,10,12,3,0,1,4,3,1
Anthony Edwards,MIN,04/24/2021,MIN @ UTA,W,36,23,9,19,4,10,1,3,1,8,9,4,5,0,2,1,5
Ricky Rubio,MIN,04/24/2021,MIN @ UTA,W,20,2,1,5,0,2,0,0,0,1,1,2,1,0,0,4,-5
D'Angelo Russell,MIN,04/24/2021,MIN @ UTA,W,31,23,8,18,3,10,4,5,0,3,3,1,2,0,2,0,9
Juancho Hernangomez,MIN,04/24/2021,MIN @ UTA,W,19,4,2,6,0,4,0,0,0,5,5,1,0,0,1,0,0
Naz Reid,MIN,04/24/2021,MIN @ UTA,W,13,4,2,8,0,2,0,0,1,0,1,0,0,0,1,3,4
Jarred Vanderbilt,MIN,04/24/2021,MIN @ UTA,W,13,5,2,5,0,0,1,2,4,3,7,0,0,0,0,1,-1
Jordan McLaughlin,MIN,04/24/2021,MIN @ UTA,W,5,2,1,1,0,0,0,0,0,2,2,0,2,0,1,0,-2
Josh Okogie,MIN,04/26/2021,MIN vs. UTA,W,21,8,3,7,2,4,0,1,2,1,3,1,0,0,0,3,1
Jaden McDaniels,MIN,04/26/2021,MIN vs. UTA,W,34,6,2,9,1,6,1,2,2,8,10,2,0,2,1,4,4
Karl-Anthony Towns,MIN,04/26/2021,MIN vs. UTA,W,36,21,7,13,1,4,6,7,2,9,11,2,1,0,4,4,9
Anthony Edwards,MIN,04/26/2021,MIN vs. UTA,W,38,14,5,17,1,10,3,3,1,8,9,4,1,0,3,2,1
Ricky Rubio,MIN,04/26/2021,MIN vs. UTA,W,22,2,1,6,0,2,0,0,0,5,5,4,3,0,1,0,-1
D'Angelo Russell,MIN,04/26/2021,MIN vs. UTA,W,31,27,10,16,7,12,0,0,0,2,2,12,0,1,3,1,9
Juancho Hernangomez,MIN,04/26/2021,MIN vs. UTA,W,18,14,4,5,2,3,4,5,0,1,1,0,1,0,1,2,-1
Jordan McLaughlin,MIN,04/26/2021,MIN vs. UTA,W,12,0,0,0,0,0,0,0,0,1,1,4,0,0,0,1,-7
Naz Reid,MIN,04/26/2021,MIN vs. UTA,W,18,13,5,7,2,3,1,3,0,2,2,0,0,1,0,1,-4
Jarred Vanderbilt,MIN,04/26/2021,MIN vs. UTA,W,10,0,0,3,0,0,0,0,1,3,4,0,1,0,3,3,-6
Josh Okogie,MIN,04/27/2021,MIN @ HOU,W,17,2,0,0,0,0,2,2,3,5,8,2,0,0,0,0,-3
Jaden McDaniels,MIN,04/27/2021,MIN @ HOU,W,26,5,2,4,1,2,0,0,0,3,3,0,1,0,0,1,-10
Karl-Anthony Towns,MIN,04/27/2021,MIN @ HOU,W,31,31,12,22,2,7,5,7,3,4,7,5,1,0,5,6,-4
Anthony Edwards,MIN,04/27/2021,MIN @ HOU,W,33,19,9,22,1,8,0,3,2,7,9,2,3,2,3,1,2
Ricky Rubio,MIN,04/27/2021,MIN @ HOU,W,17,3,1,3,1,3,0,0,0,2,2,4,0,0,1,2,-8
D'Angelo Russell,MIN,04/27/2021,MIN @ HOU,W,29,15,5,17,1,8,4,5,0,3,3,7,1,0,2,1,1
Jordan McLaughlin,MIN,04/27/2021,MIN @ HOU,W,19,4,2,3,0,1,0,0,1,1,2,5,1,0,0,1,13
Juancho Hernangomez,MIN,04/27/2021,MIN @ HOU,W,28,22,8,12,3,6,3,8,0,7,7,1,0,2,0,1,16
Jarred Vanderbilt,MIN,04/27/2021,MIN @ HOU,W,22,8,4,4,0,0,0,0,3,4,7,2,3,0,0,4,17
Naz Reid,MIN,04/27/2021,MIN @ HOU,W,17,5,2,6,1,3,0,0,0,0,0,1,0,2,3,3,11
Josh Okogie,MIN,04/29/2021,MIN vs. GSW,W,18,6,1,3,0,1,4,4,3,3,6,0,0,0,0,0,-1
Jaden McDaniels,MIN,04/29/2021,MIN vs. GSW,W,32,8,3,7,2,5,0,0,2,3,5,4,1,0,1,4,-1
Karl-Anthony Towns,MIN,04/29/2021,MIN vs. GSW,W,33,22,6,18,3,7,7,10,2,9,11,7,0,0,2,2,3
Anthony Edwards,MIN,04/29/2021,MIN vs. GSW,W,34,25,10,19,3,6,2,3,0,5,5,3,0,1,2,4,5
Ricky Rubio,MIN,04/29/2021,MIN vs. GSW,W,31,26,7,13,5,8,7,7,1,5,6,6,2,0,0,1,17
D'Angelo Russell,MIN,04/29/2021,MIN vs. GSW,W,24,7,3,11,1,5,0,2,0,2,2,8,1,0,3,3,3
Jordan McLaughlin,MIN,04/29/2021,MIN vs. GSW,W,12,8,3,6,2,3,0,0,1,3,4,1,0,0,3,3,6
Juancho Hernangomez,MIN,04/29/2021,MIN vs. GSW,W,23,9,3,6,3,4,0,0,2,5,7,0,1,0,0,1,8
Naz Reid,MIN,04/29/2021,MIN vs. GSW,W,15,13,6,9,1,2,0,3,1,4,5,0,0,1,1,2,9
Jarred Vanderbilt,MIN,04/29/2021,MIN vs. GSW,W,16,2,1,2,0,0,0,0,4,2,6,2,0,0,1,1,11
Josh Okogie,MIN,05/01/2021,MIN vs. NOP,L,17,4,1,3,0,0,2,2,1,0,1,3,1,0,0,1,6
Jaden McDaniels,MIN,05/01/2021,MIN vs. NOP,L,35,5,1,2,1,2,2,2,1,4,5,0,2,0,1,6,10
Karl-Anthony Towns,MIN,05/01/2021,MIN vs. NOP,L,37,28,8,19,4,9,8,8,1,13,14,3,3,0,4,6,-6
Anthony Edwards,MIN,05/01/2021,MIN vs. NOP,L,38,29,9,21,2,7,9,11,2,7,9,6,0,1,6,3,-8
Ricky Rubio,MIN,05/01/2021,MIN vs. NOP,L,32,11,4,8,1,4,2,2,1,2,3,7,6,0,1,2,-4
D'Angelo Russell,MIN,05/01/2021,MIN vs. NOP,L,33,17,8,22,1,12,0,1,0,2,2,11,2,0,4,3,-10
Juancho Hernangomez,MIN,05/01/2021,MIN vs. NOP,L,21,14,5,13,3,8,1,2,2,1,3,2,1,1,0,0,3
Jordan McLaughlin,MIN,05/01/2021,MIN vs. NOP,L,12,2,1,1,0,0,0,0,0,1,1,2,0,0,0,0,0
Jarred Vanderbilt,MIN,05/01/2021,MIN vs. NOP,L,18,9,4,4,0,0,1,2,3,5,8,1,1,1,0,3,-9
Naz Reid,MIN,05/01/2021,MIN vs. NOP,L,22,17,7,13,3,6,0,2,2,3,5,0,1,2,0,6,-2
Anthony Edwards,MIN,05/07/2021,MIN @ MIA,L,41,25,10,19,2,9,3,3,2,4,6,3,0,1,5,4,-1
Jarred Vanderbilt,MIN,05/07/2021,MIN @ MIA,L,36,8,4,5,0,0,0,0,1,10,11,1,5,2,0,4,9
Karl-Anthony Towns,MIN,05/07/2021,MIN @ MIA,L,31,27,8,16,2,6,9,11,0,6,6,4,0,0,4,5,9
D'Angelo Russell,MIN,05/07/2021,MIN @ MIA,L,26,17,6,12,4,7,1,3,2,1,3,4,0,0,0,0,3
Ricky Rubio,MIN,05/07/2021,MIN @ MIA,L,33,16,6,12,1,4,3,4,1,2,3,9,2,0,3,3,12
Juancho Hernangomez,MIN,05/07/2021,MIN @ MIA,L,24,8,3,11,1,7,1,5,2,3,5,0,0,0,1,1,-12
Jordan McLaughlin,MIN,05/07/2021,MIN @ MIA,L,15,2,0,2,0,1,2,2,0,0,0,4,0,0,0,0,-21
Josh Okogie,MIN,05/07/2021,MIN @ MIA,L,10,3,1,2,0,1,1,2,0,0,0,1,0,1,1,1,-22
Jaylen Nowell,MIN,05/07/2021,MIN @ MIA,L,7,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,-6
Naz Reid,MIN,05/07/2021,MIN @ MIA,L,18,6,3,5,0,2,0,0,1,5,6,1,0,0,2,4,-16
Anthony Edwards,MIN,05/09/2021,MIN @ ORL,W,29,16,7,11,2,6,0,1,1,9,10,5,0,1,1,2,25
Jarred Vanderbilt,MIN,05/09/2021,MIN @ ORL,W,22,8,4,8,0,0,0,0,2,6,8,0,1,1,0,2,31
Karl-Anthony Towns,MIN,05/09/2021,MIN @ ORL,W,29,27,10,19,2,7,5,6,3,6,9,4,1,2,1,3,32
D'Angelo Russell,MIN,05/09/2021,MIN @ ORL,W,30,27,9,21,5,9,4,6,1,5,6,7,0,0,1,1,33
Ricky Rubio,MIN,05/09/2021,MIN @ ORL,W,26,18,6,11,3,7,3,3,0,2,2,3,1,0,0,2,27
Josh Okogie,MIN,05/09/2021,MIN @ ORL,W,26,3,1,6,0,4,1,2,3,0,3,3,1,1,4,2,4
Jaylen Nowell,MIN,05/09/2021,MIN @ ORL,W,25,8,3,8,1,4,1,2,0,3,3,2,0,2,1,2,10
Naz Reid,MIN,05/09/2021,MIN @ ORL,W,16,9,3,5,1,3,2,2,2,6,8,4,0,1,0,3,1
Jordan McLaughlin,MIN,05/09/2021,MIN @ ORL,W,25,7,2,4,1,3,2,2,0,5,5,2,1,0,2,0,3
Jake Layman,MIN,05/09/2021,MIN @ ORL,W,7,5,2,4,1,2,0,0,0,1,1,0,0,1,0,1,-3
Ed Davis,MIN,05/09/2021,MIN @ ORL,W,6,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,-3
